ML #,Status,Address,SUB/AREA,Price,List Date,DOM,Tot BR,Tot Baths,TotFlArea,Yr Blt,Age,Locker,TotalPrkng,StratMtFee,TypeDwel,Bylaw Restrictions
R2342830,ACTIVE,1501 5288 MELBOURNE STREET,VVECO,"$360,000 ",2/21/2019,13,1,1,429,1999,20,Y,1,$178.98 ,Apartment/Condo,"PETR, RENR"
R2338613,ACTIVE,804 200 KEARY STREET,VNWSA,"$369,800 ",2/4/2019,30,1,1,550,2009,10,N,1,$218.27 ,Apartment/Condo,"PETR, RENY"
R2328543,ACTIVE,304 6963 VICTORIA DRIVE,VVEKL,"$375,000 ",12/20/2018,76,1,1,624,1996,23,,,$200.15 ,Apartment/Condo,"PETN, RENR"
R2325328,ACTIVE,211 138 E HASTINGS STREET,VVEDT,"$389,900 ",11/27/2018,99,1,1,448,2015,4,N,0,$163.19 ,Apartment/Condo,"PETR, RENY"
R2344985,ACTIVE,406 221 ELEVENTH STREET,VNWUP,"$390,000 ",3/4/2019,2,1,1,712,1996,23,Y,1,$316.32 ,Apartment/Condo,"PETR, RENR"
R2345538,ACTIVE,135 15 SIXTH AVENUE,VNWGN,"$398,000 ",3/5/2019,1,1,1,712,1999,20,N,1,$250.58 ,Apartment/Condo,"PETR, RENN"
R2344434,ACTIVE,602 138 E HASTINGS STREET,VVEDT,"$399,000 ",2/27/2019,7,1,1,448,2015,4,N,1,$163.14 ,Apartment/Condo,PETY
R2335722,ACTIVE,105 580 TWELFTH STREET,VNWUP,"$399,900 ",1/25/2019,40,1,1,689,2000,19,Y,1,$269.33 ,Apartment/Condo,"PETR, RENR"
R2342981,ACTIVE,601 4888 NANAIMO STREET,VVECO,"$400,000 ",2/25/2019,9,1,1,450,2011,8,Y,1,$179.84 ,Apartment/Condo,"PETY, RENY"
R2320682,ACTIVE,PH3 6991 VICTORIA DRIVE,VVEKL,"$409,900 ",11/5/2018,121,1,1,575,1999,20,Y,2,$180.64 ,Apartment/Condo,"PETN, RENR"
R2333054,ACTIVE,312 55 EIGHTH AVENUE,VNWGN,"$409,900 ",1/16/2019,49,1,1,536,2013,6,Y,1,$220.54 ,Apartment/Condo,"PETR, RENY"
R2336106,ACTIVE,1406 188 AGNES STREET,VNWDT,"$415,000 ",1/24/2019,41,1,1,575,2017,2,Y,,$207.00 ,Apartment/Condo,NO
R2335131,ACTIVE,711 200 KEARY STREET,VNWSA,"$419,000 ",1/21/2019,44,1,1,724,2009,10,N,1,$280.00 ,Apartment/Condo,"PETR, RENY"
R2341861,ACTIVE,412 83 STAR CRESCENT,VNWQB,"$419,900 ",2/19/2019,15,1,1,671,1998,21,Y,2,$279.68 ,Apartment/Condo,"PETR, RENR"
R2334420,ACTIVE,511 138 E HASTINGS STREET,VVEDT,"$420,000 ",1/22/2019,43,1,1,448,2015,4,N,1,$167.10 ,Apartment/Condo,"PETR, RENR"
R2339354,ACTIVE,1210 4815 ELDORADO MEWS,VVECO,"$425,000 ",2/6/2019,28,1,1,411,2013,6,Y,1,$185.62 ,Apartment/Condo,"PETR, RENR"
R2341045,ACTIVE,606 680 CLARKSON STREET,VNWDT,"$425,000 ",2/12/2019,22,2,1,695,1998,21,N,1,$334.44 ,Apartment/Condo,"PETR, RENY"
R2339884,ACTIVE,315 55 EIGHTH AVENUE,VNWGN,"$428,000 ",2/11/2019,23,1,1,568,2013,6,Y,1,$239.79 ,Apartment/Condo,"PETR, RENY"
R2338009,ACTIVE,605 2763 CHANDLERY PLACE,VVEFV,"$429,900 ",2/4/2019,30,1,1,554,2000,19,Y,1,$294.00 ,Apartment/Condo,"PETR, RENR"
R2336934,ACTIVE,513 214 ELEVENTH STREET,VNWUP,"$429,900 ",1/30/2019,35,1,1,700,1998,21,Y,1,$231.84 ,Apartment/Condo,"PETR, RENN"
R2343684,ACTIVE,123 18 JACK MAHONY PLACE,VNWGN,"$435,000 ",2/26/2019,8,1,1,725,2001,18,Y,1,$254.21 ,Townhouse,"PETR, RENR"
R2328183,ACTIVE,1710 4815 ELDORADO MEWS,VVECO,"$438,000 ",12/17/2018,79,1,1,411,2013,6,,1,$185.62 ,Apartment/Condo,"PETR, RENR"
R2337769,ACTIVE,301 2973 KINGSWAY AVENUE,VVECO,"$438,000 ",2/1/2019,33,1,1,503,2004,15,Y,1,$166.63 ,Apartment/Condo,"PETR, RENR"
R2338237,ACTIVE,903 2733 CHANDLERY PLACE,VVEFV,"$438,000 ",2/4/2019,30,1,1,518,2000,19,Y,1,$273.53 ,Apartment/Condo,"PETR, RENR"
